GeneSymbol	GeneID	DiseaseName	DiseaseID	DirectEvidence	InferenceChemicalName	InferenceScore	OmimIDs	PubMedIDs
5430421B17	330593	Muscular Atrophy	MESH:D009133		Dietary Fats	11.29		25614714
5430421B17	330593	Muscular Atrophy	MESH:D009133		Testosterone	11.29		18436443|21094144|21931329
5-HT1B	37191	Muscular Atrophy	MESH:D009133		Cocaine	4.11		15204026
9130022E09	74564	Muscular Atrophy	MESH:D009133		Dietary Fats	3.99		25614714
A1BG	1	Muscular Atrophy	MESH:D009133		Clofibrate	6.47		6511338
A1BG	1	Muscular Atrophy	MESH:D009133		Quercetin	6.47		25614714
A1CF	29974	Muscular Atrophy	MESH:D009133		Cisplatin	11.53		24823295
A1CF	29974	Muscular Atrophy	MESH:D009133		Dietary Fats	11.53		25614714
A1CF	29974	Muscular Atrophy	MESH:D009133		Quercetin	11.53		25614714
A2M	2	Muscular Atrophy	MESH:D009133		Cisplatin	18.10		24823295
A2M	2	Muscular Atrophy	MESH:D009133		Clofibrate	18.10		6511338
A2M	2	Muscular Atrophy	MESH:D009133		Dexamethasone	18.10		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
A2M	2	Muscular Atrophy	MESH:D009133		Dietary Fats	18.10		25614714
A2M	2	Muscular Atrophy	MESH:D009133		irinotecan	18.10		19401694
A2M	2	Muscular Atrophy	MESH:D009133		Prednisone	18.10		3938399|3998075|6851197|6986827
A4GALT	53947	Muscular Atrophy	MESH:D009133		Cisplatin	6.98		24823295
A4GALT	53947	Muscular Atrophy	MESH:D009133		Dietary Fats	6.98		25614714
A4GNT	51146	Muscular Atrophy	MESH:D009133		Dietary Fats	3.65		25614714
AAAS	8086	Muscular Atrophy	MESH:D009133		Dietary Fats	2.71		25614714
AACS	65985	Muscular Atrophy	MESH:D009133		Amiodarone	29.00		90132
AACS	65985	Muscular Atrophy	MESH:D009133		Cocaine	29.00		15204026
AACS	65985	Muscular Atrophy	MESH:D009133		Dietary Fats	29.00		25614714
AACS	65985	Muscular Atrophy	MESH:D009133		Nicotine	29.00		18694773
AACS	65985	Muscular Atrophy	MESH:D009133		resveratrol	29.00		20861279|21715682|24534773
AACS	65985	Muscular Atrophy	MESH:D009133		Testosterone	29.00		18436443|21094144|21931329
