	entrez	gene	first	second	third
1	1459	CSNK2A2	4	2	3
2	11200	CHEK2	0	4	3
3	11184	MAP4K1	4	4	4
4	5563	PRKAA2	3	3	4
5	10420	TESK2	4	3	3
6	1439	CSF2RB	4	2	4
7	4916	NTRK3	2	3	3
8	3566	IL4R	3	4	3
9	3598	IL13RA2	4	4	4
10	22843	PPM1E	4	4	4
11	6733	SRPK2	4	4	5
12	192111	PGAM5	3	3	4
13	5533	PPP3CC	3	2	2
14	369	ARAF	4	4	4
15	55844	PPP2R2D	4	3	3
16	3784	KCNQ1	4	2	4
17	150290	DUSP18	4	3	4
18	93	ACVR2B	3	3	3
19	1271	CNTFR	4	3	3
20	8493	PPM1D	2	3	4
21	1845	DUSP3	4	2	5
22	23118	TAB2	4	4	3
23	3568	IL5RA	3	2	4
24	50615	IL21R	3	2	4
25	659	BMPR2	2	2	5
26	5532	PPP3CB	2	3	2
27	85366	MYLK2	4	3	4
28	5782	PTPN12	2	3	4
29	5062	PAK2	3	4	4
30	8428	STK24	4	3	3
31	1852	DUSP9	5	3	3
32	5613	PRKX	5	2	2
33	83694	RPS6KL1	3	3	4
34	5519	PPP2R1B	4	4	5
35	5129	CDK18	4	5	3
36	1432	MAPK14	2	2	2
37	1195	CLK1	5	4	3
38	4893	NRAS	2	2	3
39	5522	PPP2R2C	3	1	2
40	5063	PAK3	4	4	4
41	1022	CDK7	3	3	3
42	1111	CHEK1	4	3	4
43	5590	PRKCZ	3	2	3
44	2771	GNAI2	4	3	5
45	3953	LEPR	4	4	4
46	283455	KSR2	4	3	3
47	6195	RPS6KA1	4	4	4
48	163702	IFNLR1	3	4	4
49	6237	RRAS	3	3	3
50	5127	CDK16	2	4	4
51	3594	IL12RB1	3	3	1
52	5802	PTPRS	4	4	4
53	9113	LATS1	2	4	3
54	5584	PRKCI	3	3	3
55	3265	HRAS	2	2	2
56	2042	EPHA3	3	3	4
57	5791	PTPRE	3	4	3
58	1326	MAP3K8	4	3	3
59	10746	MAP3K2	3	3	2
60	3455	IFNAR2	5	3	3
61	5599	MAPK8	2	3	2
62	11221	DUSP10	4	3	4
63	5058	PAK1	4	5	5
64	8986	RPS6KA4	3	4	4
65	8445	DYRK2	4	5	2
66	5606	MAP2K3	4	4	3
67	6416	MAP2K4	2	4	5
68	5494	PPM1A	3	4	4
69	1454	CSNK1E	3	3	5
70	3985	LIMK2	3	3	3
71	5774	PTPN3	5	4	3
72	1457	CSNK2A1	3	2	5
73	3055	HCK	3	4	4
74	818	CAMK2G	4	3	4
75	5523	PPP2R3A	4	3	5
76	11072	DUSP14	3	2	4
77	4140	MARK3	3	3	5
78	5567	PRKACB	2	4	3
79	5618	PRLR	4	4	2
80	9020	MAP3K14	3	2	5
81	5291	PIK3CB	3	1	2
82	5604	MAP2K1	4	3	3
83	28227	PPP2R3B	5	4	4
84	3597	IL13RA1	2	2	3
85	3460	IFNGR2	3	3	3
86	6196	RPS6KA2	5	3	3
87	8556	CDC14A	5	3	2
88	3716	JAK1	2	2	3
89	472	ATM	3	3	3
90	3459	IFNGR1	5	3	2
91	4342	MOS	4	3	4
92	22808	MRAS	3	4	2
93	4215	MAP3K3	4	4	4
94	6732	SRPK1	3	4	4
95	2932	GSK3B	4	3	4
96	2690	GHR	3	4	3
97	5795	PTPRJ	3	4	4
98	5529	PPP2R5E	4	4	3
99	10188	TNK2	4	5	4
100	7099	TLR4	4	4	4
101	7525	YES1	3	3	3
102	1196	CLK2	3	3	3
103	23012	STK38L	4	5	4
104	29904	EEF2K	2	3	2
105	57118	CAMK1D	3	2	3
106	5518	PPP2R1A	4	4	3
107	5531	PPP4C	3	5	4
108	5293	PIK3CD	3	2	3
109	1849	DUSP7	4	3	3
110	53832	IL20RA	4	3	3
111	3480	IGF1R	4	4	4
112	1850	DUSP8	4	4	4
113	91	ACVR1B	4	5	3
114	4217	MAP3K5	4	3	4
115	3588	IL10RB	3	3	4
116	6789	STK4	3	4	3
117	52	ACP1	4	4	3
118	5294	PIK3CG	3	5	2
119	7046	TGFBR1	5	4	2
120	23533	PIK3R5	3	4	3
121	1020	CDK5	2	4	4
122	2475	MTOR	3	2	2
123	5578	PRKCA	2	4	3
124	338599	DUPD1	4	3	4
125	5602	MAPK10	3	3	3
126	9110	MTMR4	3	4	3
127	6198	RPS6KB1	3	2	3
128	5562	PRKAA1	3	4	3
129	1025	CDK9	2	3	4
130	8440	NCK2	3	4	4
131	5594	MAPK1	4	2	2
132	139728	PNCK	2	2	2
133	3454	IFNAR1	4	4	3
134	5894	RAF1	3	2	2
135	2057	EPOR	5	3	4
136	2931	GSK3A	5	4	3
137	5525	PPP2R5A	5	2	5
138	9175	MAP3K13	2	5	3
139	5526	PPP2R5B	4	2	5
140	1848	DUSP6	4	4	3
141	5292	PIM1	3	3	5
142	9647	PPM1F	4	4	3
143	5527	PPP2R5C	4	2	3
144	9180	OSMR	3	3	5
145	3572	IL6ST	3	4	4
146	23399	CTDNEP1	2	2	5
147	2770	GNAI1	3	4	2
148	4087	SMAD2	5	3	4
149	5588	PRKCQ	4	4	3
150	1033	CDKN3	2	4	3
151	5568	PRKACG	3	4	4
152	545	ATR	4	2	3
153	3595	IL12RB2	3	2	4
154	2869	GRK5	3	2	4
155	2260	FGFR1	3	3	4
156	9891	NUAK1	5	5	4
157	5566	PRKACA	2	3	4
158	657	BMPR1A	3	3	3
159	3581	IL9R	4	3	2
160	55872	PBK	4	4	4
161	149233	IL23R	3	3	3
162	4145	MATK	3	4	3
163	11329	STK38	2	4	3
164	1198	CLK3	3	2	3
165	53833	IL20RB	3	4	2
166	10454	TAB1	2	3	4
167	7048	TGFBR2	3	3	5
168	5603	MAPK13	2	2	2
169	200186	CRTC2	3	4	5
170	5585	PKN1	4	3	3
171	57144	PAK7	3	2	3
172	5792	PTPRF	3	4	3
173	6794	STK11	3	3	4
174	100506012	PPP5D1	3	4	3
175	993	CDC25A	3	3	3
176	5610	EIF2AK2	3	4	4
177	51701	NLK	4	4	3
178	6300	MAPK12	2	1	2
179	54899	PXK	5	4	4
180	8767	RIPK2	4	2	4
181	8491	MAP4K3	3	4	3
182	5495	PPM1B	3	4	3
183	9448	MAP4K4	1	2	4
184	2268	FGR	2	2	3
185	10494	STK25	2	2	4
186	4296	MAP3K11	4	3	2
187	225689	MAPK15	3	3	3
188	3590	IL11RA	4	4	2
189	673	BRAF	3	3	3
190	65125	WNK1	4	4	3
191	27330	RPS6KA6	2	3	3
192	5607	MAP2K5	4	4	3
193	5778	PTPN7	4	4	5
194	3570	IL6R	4	4	5
195	8555	CDC14B	3	4	3
196	2264	FGFR4	4	3	3
197	25930	PTPN23	2	4	2
198	5871	MAP4K2	4	4	4
199	2263	FGFR2	3	5	3
200	8550	MAPKAPK5	3	5	3
201	65018	PINK1	2	3	3
202	6197	RPS6KA3	4	2	4
203	5521	PPP2R2B	3	3	4
204	5879	RAC1	4	2	4
205	3611	ILK	3	5	3
206	116379	IL22RA2	3	2	4
207	5801	PTPRR	3	4	3
208	9212	AURKB	5	3	3
209	7301	TYRO3	4	2	4
210	6792	CDKL5	4	4	4
211	57761	TRIB3	3	3	4
212	54861	SNRK	2	3	4
213	8899	PRPF4B	4	3	3
214	4751	NEK2	3	3	4
215	5528	PPP2R5D	3	4	4
216	2049	EPHB3	3	2	2
217	10110	SGK2	3	4	4
218	4214	MAP3K1	3	4	4
219	1438	CSF2RA	4	3	2
220	5728	PTEN	3	3	4
221	1453	CSNK1D	4	3	3
222	8798	DYRK4	2	5	3
223	5616	PRKY	3	2	3
224	4352	MPL	4	5	4
225	29110	TBK1	3	5	3
226	387	RHOA	5	2	3
227	130399	ACVR1C	4	3	3
228	6885	MAP3K7	2	4	3
229	5771	PTPN2	3	4	3
230	84254	CAMKK1	4	4	4
231	3587	IL10RA	4	2	2
232	5579	PRKCB	2	3	4
233	64109	CRLF2	3	4	3
234	9252	RPS6KA5	2	3	2
235	9263	STK17A	4	3	2
236	6199	RPS6KB2	3	3	3
237	4216	MAP3K4	4	3	3
238	284086	NEK8	3	4	2
239	9475	ROCK2	4	4	5
240	1019	CDK4	2	4	2
241	10106	CTDSP2	4	3	4
242	22800	RRAS2	4	4	4
243	5580	PRKCD	4	4	4
244	1846	DUSP4	3	4	3
245	5296	PIK3R2	2	4	2
246	780	DDR1	4	3	3
247	1843	DUSP1	4	2	3
248	5593	PRKG2	4	3	4
249	22983	MAST1	5	4	4
250	5501	PPP1CC	2	4	3
251	5516	PPP2CB	4	4	4
252	58985	IL22RA1	4	4	3
253	55012	PPP2R3C	4	4	3
254	1847	DUSP5	3	3	5
255	5747	PTK2	5	2	3
256	9748	SLK	3	3	3
257	4233	MET	4	3	4
258	84867	PTPN5	4	3	4
259	9064	MAP3K6	3	4	2
260	5515	PPP2CA	3	4	5
261	58190	CTDSP1	3	3	2
262	151742	PPM1L	4	3	3
263	8576	STK16	4	3	4
264	5295	PIK3R1	4	5	4
265	3601	IL15RA	3	4	3
266	5592	PRKG1	4	3	4
267	83903	GSG2	3	3	3
268	5595	MAPK3	4	2	4
269	6558	SLC12A2	3	3	3
270	5290	PIK3CA	3	3	3
271	147746	HIPK4	3	2	3
272	1844	DUSP2	0	4	3
273	142679	DUSP19	3	4	4
274	91754	NEK9	3	4	5
275	5608	MAP2K6	4	3	3
276	3575	IL7R	3	4	2
277	78986	DUSP26	3	2	3
278	3718	JAK3	4	4	2
279	1445	CSK	4	4	3
280	11035	RIPK3	3	3	4
281	5347	PLK1	4	4	2
282	7189	TRAF6	3	5	3
283	4088	SMAD3	3	3	3
284	56940	DUSP22	4	3	4
285	5582	PRKCG	3	2	4
286	90	ACVR1	5	5	3
287	5600	MAPK11	1	2	2
288	5520	PPP2R2A	3	3	2
289	2870	GRK6	3	4	2
290	5500	PPP1CB	2	5	5
291	6093	ROCK1	4	4	4
292	658	BMPR1B	4	5	5
293	340371	NRBP2	3	4	3
294	9149	DYRK1B	4	2	3
295	124923	SGK494	4	4	4
296	84335	AKT1S1	4	2	3
297	5537	PPP6C	3	5	4
298	30849	PIK3R4	3	2	4
299	5598	MAPK7	3	3	4
300	660	BMX	4	3	3
301	10217	CTDSPL	4	4	3
302	10298	PAK4	4	3	5
303	7042	TGFB2	3	3	4
304	7957	EPM2A	4	4	3
305	1018	CDK3	3	3	4
