Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
positive regulation of MAPK cascade (GO:0043410)	8/395	0.0000005044254266778745407042773042649574932738687493838369846343994140625	0.00016369089139196051573520163113784064989886246621608734130859375	0.000003546340886760940215756410243130858361837454140186309814453125	0.0009787900847460194453386606028288952074944972991943359375	-2.463837612112043	35.7252655119239	MAP4K1;MAP3K3;MAP4K2;PAK1;PAK3;IL6R;TLR4;IGF1R
regulation of MAP kinase activity (GO:0043405)	7/273	0.000000593082939825943873039630627186369338232907466590404510498046875	0.00016369089139196051573520163113784064989886246621608734130859375	0.00000350463052563078327337922450446239253096791799180209636688232421875	0.0009787900847460194453386606028288952074944972991943359375	-2.3916334774000876	34.29107717040652	MAP4K1;MAP4K2;PAK1;PRKCD;PAK3;DUSP8;TLR4
protein dephosphorylation (GO:0006470)	6/161	0.0000004687330021765610795633706826823772217949226615019142627716064453125	0.00016369089139196051573520163113784064989886246621608734130859375	0.00000238010744641581439869754653615441242209271877072751522064208984375	0.0009787900847460194453386606028288952074944972991943359375	-2.1902083523924634	31.918415591792268	PPP2CB;PTPRS;PPP2R3B;PTPN7;DUSP8;PPM1E
signal transduction by phosphorylation (GO:0023014)	6/202	0.0000017649024265361548557853703378395238132725353352725505828857421875	0.000365334802292984037359879767592474308912642300128936767578125	0.00000844232596541607836011962551214793393228319473564624786376953125	0.00174756147484112812906520417755018570460379123687744140625	-2.277138032191917	30.166192869768285	MAP3K3;MAP4K2;PAK1;RPS6KA1;PAK3;BMPR1B
regulation of actin cytoskeleton organization (GO:0032956)	6/240	0.000004775905111587573092265905649878021677068318240344524383544921875	0.00060567868901163627627648455842290786677040159702301025390625	0.00002191415697749430076366090880402026641604606993496417999267578125	0.0025921317110521829678304595034887825022451579570770263671875	-2.398492457270121	29.386154616039544	PAK1;ROCK1;ROCK2;PRKCD;PAK3;PPM1E
regulation of cellular response to stress (GO:0080135)	7/404	0.000007949139802267435417977743672413026843059924431145191192626953125	0.000658188775627743653286183533879238893860019743442535400390625	0.00004233764937956082372895461052308974103652872145175933837890625	0.0028785607755314975876592686887534000561572611331939697265625	-2.4839661605729844	29.167840583261384	MAP4K1;MAP4K2;NUAK1;PAK1;PRKCD;TLR4;IGF1R
regulation of actin filament-based process (GO:0032970)	6/257	0.0000070689647560155863045415654266623306511974078603088855743408203125	0.000658188775627743653286183533879238893860019743442535400390625	0.0000319229067386339552940023589489015876097255386412143707275390625	0.0028785607755314975876592686887534000561572611331939697265625	-2.4073396445782516	28.55055833079655	PAK1;ROCK1;ROCK2;PRKCD;PAK3;PPM1E
regulation of stress fiber assembly (GO:0051492)	4/56	0.000003398173030333671398623036907782335447336663492023944854736328125	0.000562737453823255995809249352390679632662795484066009521484375	0.0000118256630853388571673022455765789118231623433530330657958984375	0.00195832980693211484990445825360438902862370014190673828125	-2.2165410031947714	27.9112885740725	PAK1;ROCK1;ROCK2;PPM1E
regulation of protein serine/threonine kinase activity (GO:0071900)	7/416	0.000009617306164527162956720714170888442140494589693844318389892578125	0.000723920864020771996812098070250840464723296463489532470703125	0.0000508288481963834587983031010338663691072724759578704833984375	0.0028785607755314975876592686887534000561572611331939697265625	-2.377048027939452	27.45953130671751	MAP4K1;MAP4K2;PAK1;PRKCD;PAK3;DUSP8;TLR4
regulation of JNK cascade (GO:0046328)	5/148	0.000007468072754257468125432643801797638616335461847484111785888671875	0.000658188775627743653286183533879238893860019743442535400390625	0.0000284648643134764725765896431486368101104744710028171539306640625	0.0028785607755314975876592686887534000561572611331939697265625	-2.2922652142551145	27.059901089490108	MAP4K1;MAP4K2;PAK1;TLR4;IGF1R
regulation of actin filament bundle assembly (GO:0032231)	4/62	0.0000051204720085524810875739210036527992997434921562671661376953125	0.00060567868901163627627648455842290786677040159702301025390625	0.00001730301148537610319232647737575092605766258202493190765380859375	0.0023878155849819024912628062651265281601808965206146240234375	-2.1996488743404385	26.79670314932277	PAK1;ROCK1;ROCK2;PPM1E
dephosphorylation (GO:0016311)	6/278	0.000011060941699496079260894333684550616681008250452578067779541015625	0.000763204977265229535070278910069418998318724334239959716796875	0.0000490577834128338533003534094323327963138581253588199615478515625	0.0028785607755314975876592686887534000561572611331939697265625	-2.3003529547594304	26.251835919641103	PPP2CB;PTPRS;PPP2R3B;PTPN7;DUSP8;PPM1E
regulation of stress-activated MAPK cascade (GO:0032872)	5/170	0.0000146304508322834590327947423826771000676671974360942840576171875	0.000778890068120687765855503226219980206224136054515838623046875	0.0000541358049728701154023995101294275400505284778773784637451171875	0.0028785607755314975876592686887534000561572611331939697265625	-2.3257669832656345	25.89138122088862	MAP4K1;MAP4K2;PAK1;TLR4;IGF1R
regulation of stress-activated protein kinase signaling cascade (GO:0070302)	5/171	0.0000150510158090954153397612869103028288009227253496646881103515625	0.000778890068120687765855503226219980206224136054515838623046875	0.0000556243628122028490874499684348819528167950920760631561279296875	0.0028785607755314975876592686887534000561572611331939697265625	-2.322299524785726	25.786965043207346	MAP4K1;MAP4K2;PAK1;TLR4;IGF1R
protein autophosphorylation (GO:0046777)	5/170	0.0000146304508322834590327947423826771000676671974360942840576171875	0.000778890068120687765855503226219980206224136054515838623046875	0.0000541358049728701154023995101294275400505284778773784637451171875	0.0028785607755314975876592686887534000561572611331939697265625	-2.242857903952156	24.968403728034176	MAP4K1;MAP3K3;PAK1;CDKL5;IGF1R
regulation of cytoskeleton organization (GO:0051493)	6/350	0.0000404614109688988021263679473182861556779243983328342437744140625	0.00176326569906569527619588644284931433503516018390655517578125	0.0001703132365056506830093552284921543105156160891056060791015625	0.00705096799133393854763784958095129695720970630645751953125	-2.4570597595874992	24.85355715232243	PAK1;ROCK1;ROCK2;PRKCD;PAK3;PPM1E
MAPK cascade (GO:0000165)	5/170	0.0000146304508322834590327947423826771000676671974360942840576171875	0.000778890068120687765855503226219980206224136054515838623046875	0.0000541358049728701154023995101294275400505284778773784637451171875	0.0028785607755314975876592686887534000561572611331939697265625	-2.2200959334331793	24.715008241605023	MAP3K3;MAP4K2;PAK1;RPS6KA1;PAK3
cytokine-mediated signaling pathway (GO:0019221)	6/342	0.000035562494789374547872994047903461023452109657227993011474609375	0.0016358747603112291750526718914215962286107242107391357421875	0.00015048223559740935245492010619017264616559259593486785888671875	0.006557857424981839052080534457900284905917942523956298828125	-2.353035701812394	24.105013026767597	IL3RA;PRKCD;LEPR;MPL;IL13RA2;IL6R
positive regulation of MAP kinase activity (GO:0043406)	5/197	0.0000297334950901248905460148852508694972129887901246547698974609375	0.00144819611380137707769277799485507784993387758731842041015625	0.000106793701772432624258306332887258349728654138743877410888671875	0.005201481474563189079385328028592994087375700473785400390625	-2.2469505317749383	23.42049649722046	MAP4K1;MAP4K2;PAK1;PAK3;TLR4
immune response-activating signal transduction (GO:0002757)	5/440	0.001229012945432972174486518923686162452213466167449951171875	0.0192004286569528483108459937511725001968443393707275390625	0.003771044925725213804723612298630541772581636905670166015625	0.04979697184708033186328890451477491296827793121337890625	-3.4351185882001873	23.020598072564056	PAK1;RPS6KA1;PRKCD;PIK3R1;TLR4
positive regulation of JNK cascade (GO:0046330)	4/107	0.000044638331370964239529740280598701929193339310586452484130859375	0.00184802691875791957887287253470276482403278350830078125	0.00013332323783507289520489091927402114379219710826873779296875	0.006132868940413353613105851280806746217422187328338623046875	-2.1912255998205	21.94932632083427	MAP4K1;MAP4K2;PAK1;TLR4
