Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Proteoglycans in cancer_Homo sapiens_hsa05205	8/203	0.0000000029429906750097642428222279357107049602149118072702549397945404052734375	0.000000166278973138051690472803841557014603580455514020286500453948974609375	0.0000005621465681905173296072628953690131226039738976396620273590087890625	0.000031761281102764230975694925707131233139079995453357696533203125	-1.9874537172168503	39.04122190669618	PAK1;ROCK1;ROCK2;ARAF;RRAS2;PIK3R1;TLR4;IGF1R
AMPK signaling pathway_Homo sapiens_hsa04152	7/124	0.000000002618939778887100354912220178424213379297924575439537875354290008544921875	0.000000166278973138051690472803841557014603580455514020286500453948974609375	0.0000003235870651428796833444403828472513140468436176888644695281982421875	0.000031761281102764230975694925707131233139079995453357696533203125	-1.7922572645037969	35.415892982256	PPP2CB;PPP2R1B;LEPR;PPP2R3B;PIK3R1;CAMKK1;IGF1R
MAPK signaling pathway_Homo sapiens_hsa04010	8/255	0.000000017551471206174768393849309187394747144850271070026792585849761962890625	0.0000006611054154325829682018627643513841718458934337832033634185791015625	0.00000298012544326655039392801917197406424975270056165754795074462890625	0.000112251391696373408759200562823110658428049646317958831787109375	-1.9468685670725285	34.76742818898226	MAP4K1;MAP4K2;MAP3K3;PAK1;RPS6KA1;RRAS2;PTPN7;DUSP8
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	8/341	0.000000165073899727777713418813113240013468185907186125405132770538330078125	0.00000310889177820648040614817490812082922957415576092898845672607421875	0.0000240506228166489436346743568950756753110908903181552886962890625	0.000388245768325904370976697776995933963917195796966552734375	-1.9374056437696217	30.25621708648617	PPP2CB;PPP2R1B;IL3RA;PPP2R3B;PIK3R1;TLR4;IL6R;IGF1R
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	7/214	0.00000011411415247342972384888832963756311045244729029946029186248779296875	0.00000257897984589951198133102490406276530165996518917381763458251953125	0.000010840032896894531464046691759950391542588477022945880889892578125	0.000244984743469816375512071449094264607992954552173614501953125	-1.8219841488000998	29.126359859534368	PAK1;ROCK1;ROCK2;ARAF;RRAS2;PIK3R1;PAK3
Sphingolipid signaling pathway_Homo sapiens_hsa04071	6/120	0.0000000821450583659680996277360244539611500158571288920938968658447265625	0.00000232059789883859868213464468233997450852257316000759601593017578125	0.000005024541939895506642500995486688708524525281973183155059814453125	0.0001419433098020480622271366488718058462836779654026031494140625	-1.6979232041750265	27.70124208648989	PPP2CB;ROCK1;PPP2R1B;ROCK2;PPP2R3B;PIK3R1
Jak-STAT signaling pathway_Homo sapiens_hsa04630	6/158	0.0000004196266876396107835061298485523906265370897017419338226318359375	0.000006773973671896573955594246518874257390052662231028079986572265625	0.00002288446351860411748387579000674207918564206920564174652099609375	0.000388245768325904370976697776995933963917195796966552734375	-1.7782158936951786	26.111145001364076	IL3RA;MPL;LEPR;PIK3R1;IL13RA2;IL6R
Focal adhesion_Homo sapiens_hsa04510	6/202	0.0000017649024265361548557853703378395238132725353352725505828857421875	0.00002492924677482318617329805354732030764353112317621707916259765625	0.000087133002278081254942700140109224093976081348955631256103515625	0.0010940032508247980735927029627418960444629192352294921875	-1.7459890241818672	23.129841453339584	PAK1;ROCK1;ROCK2;PIK3R1;PAK3;IGF1R
Long-term depression_Homo sapiens_hsa04730	4/60	0.0000044878458539350428866863094989891891373190446756780147552490234375	0.0000563473979438510903512520033853405720947193913161754608154296875	0.000080098970093456117757581280702794401804567314684391021728515625	0.0010940032508247980735927029627418960444629192352294921875	-1.6472115463121695	20.28398986261397	PPP2CB;PPP2R1B;ARAF;IGF1R
Renal cell carcinoma_Homo sapiens_hsa05211	4/66	0.0000065806668736563217353440803647490753292004228569567203521728515625	0.00007436153567231642874842123536183180476655252277851104736328125	0.000113862632053698348906685400283578246671822853386402130126953125	0.0012866477422067913900793900694452531752176582813262939453125	-1.5971584106921441	19.056295084572316	PAK1;ARAF;PIK3R1;PAK3
Chemokine signaling pathway_Homo sapiens_hsa04062	5/187	0.0000231592581241923963874911052140959100142936222255229949951171875	0.000201307397541057001184860997256009795819409191608428955078125	0.000592257535156682536625627477633315720595419406890869140625	0.004272875004043961977284737940863124094903469085693359375	-1.6169066430010566	17.257432062330274	PAK1;ROCK1;ROCK2;PRKCD;PIK3R1
TGF-beta signaling pathway_Homo sapiens_hsa04350	4/84	0.00001720406248922903171666952404361694561885087750852108001708984375	0.00017673264193480734090928307988832557384739629924297332763671875	0.0002767989300665435578770179336771661837701685726642608642578125	0.002843479917956311109339395670758676715195178985595703125	-1.571499444310828	17.239922518358174	PPP2CB;ROCK1;PPP2R1B;BMPR1B
ErbB signaling pathway_Homo sapiens_hsa04012	4/87	0.00001976839442073934286609425414749097171807079575955867767333984375	0.00018615238079529547216180163093923738415469415485858917236328125	0.0003148719104536814553281509621029954359983094036579132080078125	0.0029650438234388337178926153825386791140772402286529541015625	-1.5731704947230767	17.03968001448693	PAK1;ARAF;PIK3R1;PAK3
cAMP signaling pathway_Homo sapiens_hsa04024	5/199	0.0000312065163863756481719968771670892238034866750240325927734375	0.000238194633757562545910146933891837761620990931987762451171875	0.000780558733935638924227029544766764956875704228878021240234375	0.005188419819689835642273489924036766751669347286224365234375	-1.6085351182835201	16.688364661199746	PAK1;ROCK1;ROCK2;RRAS2;PIK3R1
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	4/98	0.000031618756693481753282208568389677338927867822349071502685546875	0.000238194633757562545910146933891837761620990931987762451171875	0.000487025626845153671549970564313980503357015550136566162109375	0.00423337660257710503286521230847938568331301212310791015625	-1.5486147106282706	16.046374037113953	RPS6KA1;ARAF;PIK3R1;IGF1R
Ras signaling pathway_Homo sapiens_hsa04014	5/227	0.000058425286535190184590560225075250855297781527042388916015625	0.0003667809654709161949585893847114448362844996154308319091796875	0.00139222092537469852892295651969334358000196516513824462890625	0.00684004193771047507011129340526167652569711208343505859375	-1.5688630796697633	15.292903555431076	PAK1;RRAS2;PIK3R1;PAK3;IGF1R
HIF-1 signaling pathway_Homo sapiens_hsa04066	4/103	0.000038445553201906702985544972417386588858789764344692230224609375	0.00026542146610170134872486169541616618516854941844940185546875	0.000584064302635985306555443941078920033760368824005126953125	0.004272875004043961977284737940863124094903469085693359375	-1.439834775930115	14.63774551691592	PIK3R1;IL6R;TLR4;IGF1R
Chagas disease (American trypanosomiasis)_Homo sapiens_hsa05142	4/104	0.000039930663041848874872212504794077858605305664241313934326171875	0.00026542146610170134872486169541616618516854941844940185546875	0.000605008850130118514855370737137718606390990316867828369140625	0.004272875004043961977284737940863124094903469085693359375	-1.3981795060946514	14.161273816058339	PPP2CB;PPP2R1B;PIK3R1;TLR4
Neurotrophin signaling pathway_Homo sapiens_hsa04722	4/120	0.00006984652780581945808423272037401829948066733777523040771484375	0.0003946328821028799557942001730026504446868784725666046142578125	0.0010174214403428859763989233755410168669186532497406005859375	0.006050980145197164261627875703197787515819072723388671875	-1.4071300745821578	13.465123438202726	MAP3K3;PRKCD;RPS6KA1;PIK3R1
Vascular smooth muscle contraction_Homo sapiens_hsa04270	4/120	0.00006984652780581945808423272037401829948066733777523040771484375	0.0003946328821028799557942001730026504446868784725666046142578125	0.0010174214403428859763989233755410168669186532497406005859375	0.006050980145197164261627875703197787515819072723388671875	-1.3552022318446326	12.968214996708442	ROCK1;ROCK2;PRKCD;ARAF
Oocyte meiosis_Homo sapiens_hsa04114	4/123	0.000076888609095267834215615965209877913366653956472873687744140625	0.000413733944179298335046268686454595808754675090312957763671875	0.00111241443281074442982203631657966980128549039363861083984375	0.00628514154538070517197478892512663151137530803680419921875	-1.3538781240457576	12.825494366877201	PPP2CB;PPP2R1B;RPS6KA1;IGF1R
Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060	5/265	0.0001211822723603509671143341197563358946354128420352935791015625	0.000558160906784657922900805271382296268711797893047332763671875	0.0027176034356772385026934646390373018220998346805572509765625	0.01026705234563084732923865516340811154805123805999755859375	-1.3231073122463608	11.932065895911425	IL3RA;MPL;LEPR;BMPR1B;IL6R
Hepatitis C_Homo sapiens_hsa05160	4/133	0.00010412226681239349882109046507849825502489693462848663330078125	0.00051155722390436807710256683634497676393948495388031005859375	0.0014742272877725421699468544289857163676060736179351806640625	0.006941153479929052481922635564615120529197156429290771484375	-1.2733093325232216	11.676176174046265	PPP2CB;PPP2R1B;ARAF;PIK3R1
Axon guidance_Homo sapiens_hsa04360	4/127	0.00008706537531469834049167866307783469892456196248531341552734375	0.0004471994277527687106955911477967902101227082312107086181640625	0.00124858265997884678062679331134177118656225502490997314453125	0.0064131745717095310632682725326958461664617061614990234375	-1.237042617855298	11.564927462712838	PAK1;ROCK1;ROCK2;PAK3
Oxytocin signaling pathway_Homo sapiens_hsa04921	4/158	0.00020211706878193224702112973378831384252407588064670562744140625	0.000815686741869940841465069780724661541171371936798095703125	0.0027257661094595166638432370831424123025499284267425537109375	0.01026705234563084732923865516340811154805123805999755859375	-1.2653299254441923	10.763735866941145	ROCK1;ROCK2;PIK3R1;CAMKK1
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	4/148	0.000157258638583511012147553298490265660802833735942840576171875	0.000658156524442101635401225490085153069230727851390838623046875	0.0021608416338389090267935177536173796397633850574493408203125	0.009043522393473953091547201665889588184654712677001953125	-1.2096869343046632	10.593976951541947	PPP2CB;PPP2R1B;PPP2R3B;PIK3R1
Tight junction_Homo sapiens_hsa04530	4/139	0.00012348692627979157370420038031255671739927493035793304443359375	0.000558160906784657922900805271382296268711797893047332763671875	0.00172703575351757106746963810195438782102428376674652099609375	0.00780620160589942137241425967886243597604334354400634765625	-1.1257124497965494	10.130708779108746	PPP2CB;PPP2R1B;PRKCD;RRAS2
Glioma_Homo sapiens_hsa05214	3/65	0.00023524485759638571048639466010143905805307440459728240966796875	0.00091664375546177882629617084120354775222949683666229248046875	0.00191471593812413630984747836549786370596848428249359130859375	0.008321650038770285473521681751662981696426868438720703125	-1.046874632735038	8.74651574117621	ARAF;PIK3R1;IGF1R
Pathways in cancer_Homo sapiens_hsa05200	5/397	0.00077643546914421567896325004909385825158096849918365478515625	0.00243714466703601022323777414158030296675860881805419921875	0.01442270254881925124756936185121958260424435138702392578125	0.037052447841489873081588513059614342637360095977783203125	-1.1755100333446569	8.417588747987937	ROCK1;ROCK2;ARAF;PIK3R1;IGF1R
Melanoma_Homo sapiens_hsa05218	3/71	0.00030547572965467450177567965141633976600132882595062255859375	0.00115062524836594061612704553709818355855531990528106689453125	0.0024405556541121117657133776646105616237036883831024169921875	0.0098493853183810216311844243364248541183769702911376953125	-0.9711376823847054	7.860039012273446	ARAF;PIK3R1;IGF1R
Prostate cancer_Homo sapiens_hsa05215	3/89	0.0005932309649449621878625205084745175554417073726654052734375	0.0020948468449618977936521613258946672431193292140960693359375	0.004524415825014797311320879913409953587688505649566650390625	0.0159768433820835047132202788588983821682631969451904296875	-1.0411633328686491	7.735767297191024	ARAF;PIK3R1;IGF1R
Pathogenic Escherichia coli infection_Homo sapiens_hsa05130	3/55	0.00014310200734417579076888926703503557291696779429912567138671875	0.000621943339611225553230366980272947330377064645290374755859375	0.0012080859377128412047996963707419126876629889011383056640625	0.0064131745717095310632682725326958461664617061614990234375	-0.8135237617552339	7.2012739764802856	ROCK1;ROCK2;TLR4
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	3/94	0.000695778679329085258768727850764435061137191951274871826171875	0.002246371164691046869166246580107326735742390155792236328125	0.00524750303507431035965336008075610152445733547210693359375	0.0169419383703827731990632088354686857201159000396728515625	-0.9345672887306783	6.794751788550756	PIK3R1;CAMKK1;IGF1R
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666	3/93	0.000674429378558470096934052140369431072031147778034210205078125	0.0022414858757972681325976171962111038737930357456207275390625	0.005097645266361716144543070328154499293304979801177978515625	0.0169419383703827731990632088354686857201159000396728515625	-0.9238453554589525	6.745589517572885	PAK1;PRKCD;PIK3R1
Salmonella infection_Homo sapiens_hsa05132	3/86	0.00053664180491946726105079168434031089418567717075347900390625	0.0019561459340612838940509643492760005756281316280364990234375	0.004121604704748318796780903738863344187848269939422607421875	0.01502391392376000063546559459837226313538849353790283203125	-0.8316709476037676	6.262631700002438	ROCK1;ROCK2;TLR4
T cell receptor signaling pathway_Homo sapiens_hsa04660	3/104	0.0009333111606733865243945569289962804759852588176727294921875	0.00285038273394845088903881702435683109797537326812744140625	0.00689383689153230498625202216089746798388659954071044921875	0.021638988020643068477255610559950582683086395263671875	-0.8850457102832663	6.174762048067955	PAK1;PIK3R1;PAK3
mRNA surveillance pathway_Homo sapiens_hsa03015	3/91	0.000632997436002151535154591766030307553592137992382049560546875	0.002167536674795246011415716935744057991541922092437744140625	0.004805818249832563386625405854601922328583896160125732421875	0.01645628673427514121474501962438807822763919830322265625	-0.8339519243491501	6.142092772146308	PPP2CB;PPP2R1B;PPP2R3B
Insulin resistance_Homo sapiens_hsa04931	3/109	0.001069134612398592136528474583201386849395930767059326171875	0.0031792687158168661358537132599622054840438067913055419921875	0.007820173472335822939527361086220480501651763916015625	0.02388323249659318747717406949959695339202880859375	-0.8807265110597816	6.024967037129773	PRKCD;RPS6KA1;PIK3R1
Platelet activation_Homo sapiens_hsa04611	3/122	0.001478968259337997033509015665231345337815582752227783203125	0.0041780853326298418581874472010895260609686374664306640625	0.0105620860242060798928065423751831986010074615478515625	0.0306029671983406963142737566840878571383655071258544921875	-0.8871080466917441	5.780760240109605	ROCK1;ROCK2;PIK3R1
Dopaminergic synapse_Homo sapiens_hsa04728	3/129	0.00173531828462749975437728888749688849202357232570648193359375	0.004782706491778231268352516991626544040627777576446533203125	0.0122431216999180532412072608394737471826374530792236328125	0.034586818802268499972729642877311562187969684600830078125	-0.8264179449779452	5.253178915885263	PPP2CB;PPP2R1B;PPP2R3B
Leukocyte transendothelial migration_Homo sapiens_hsa04670	3/118	0.00134388677320168375105280400561014175764285027980804443359375	0.003893825778763852947517154490242319297976791858673095703125	0.00966633863477906092598335163756928523071110248565673828125	0.0287446385718429960054454141982205328531563282012939453125	-0.7519288494744756	4.971895882750352	ROCK1;ROCK2;PIK3R1
FoxO signaling pathway_Homo sapiens_hsa04068	3/133	0.0018935178796051087453389261128222642582841217517852783203125	0.005094464771318506397801417762138953548856079578399658203125	0.01326932540321375773861856117719071335159242153167724609375	0.036571555379589136547391348130986443720757961273193359375	-0.7842735239887155	4.916860801650456	ARAF;PIK3R1;IGF1R
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	3/151	0.00271592730197048153051309071770447189919650554656982421875	0.006819995224948098046235944735826706164516508579254150390625	0.018488322362209964888624114109916263259947299957275390625	0.044115207736161669849206390381368692032992839813232421875	-0.8265154962158509	4.8835675089178885	LEPR;PIK3R1;IL6R
Natural killer cell mediated cytotoxicity_Homo sapiens_hsa04650	3/135	0.001975883420857337154086241781669741612859070301055908203125	0.005192437826904165200370133703700048499740660190582275390625	0.01380048286248343990256781665948437876068055629730224609375	0.037052447841489873081588513059614342637360095977783203125	-0.7792006508999199	4.851879610813407	PAK1;ARAF;PIK3R1
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	3/142	0.0022816680646560801200284362977299679187126457691192626953125	0.0058597384387758418011760142007915419526398181915283203125	0.01575505490960656118648586243580211885273456573486328125	0.039562693439678699169892439613249734975397586822509765625	-0.7562090688662074	4.599905197369132	PIK3R1;BMPR1B;IGF1R
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	3/167	0.0036072142616720734124846625689997381414286792278289794921875	0.00849198357435300595075222673813186702318489551544189453125	0.0239658719416001551871797659032381488941609859466552734375	0.050992466212359317812019554594371584244072437286376953125	-0.720667145898537	4.0536225988260455	ROCK1;ROCK2;PIK3R1
Hippo signaling pathway_Homo sapiens_hsa04390	3/153	0.00281887103489673711276264356229148688726127147674560546875	0.006924617977028940489503394672965441714040935039520263671875	0.0191296033546187772833579998632558272220194339752197265625	0.044115207736161669849206390381368692032992839813232421875	-0.6540143781286749	3.8399923259576294	PPP2CB;PPP2R1B;BMPR1B
HTLV-I infection_Homo sapiens_hsa05166	3/258	0.011932913508090149667939527944326982833445072174072265625	0.0221052332199047039951178561523192911408841609954833984375	0.0700178138663511140382667008452699519693851470947265625	0.11808974577459217802921642714863992296159267425537109375	-0.4442011657317037	1.9671248093138203	MAP3K3;RRAS2;PIK3R1
Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750	2/98	0.01415841858760556910834527144515959662385284900665283203125	0.02539525873649887965921578825145843438804149627685546875	0.052105603945598107096248696734619443304836750030517578125	0.094966665255686866231599196908064186573028564453125	-0.2004518172892452	0.8534127633799258	PRKCD;PIK3R1
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933	2/101	0.0149911058304159454379611560170815209858119487762451171875	0.0256665902854091194928987107459761318750679492950439453125	0.054925719028136150978713914128093165345489978790283203125	0.09548625000275977325880916168898693285882472991943359375	-0.2026107055901645	0.8510253816628802	PRKCD;PIK3R1
GnRH signaling pathway_Homo sapiens_hsa04912	2/91	0.0122974111229209905060688612365993321873247623443603515625	0.0224130234982269672949772854053662740625441074371337890625	0.04574241629662324781779858540176064707338809967041015625	0.0847359515003020813406209299500915221869945526123046875	-0.149629111578277	0.658123674269805	MAP3K3;PRKCD
