kinase (phosphatase)	phos/deph	substrate
5500	deph	2572
8555	deph	7157
5781	deph	3791
5495	deph	4478
5501	deph	8355
5533	deph	7408
5501	deph	5925
5786	deph	6714
52	deph	6714
5516	deph	3014
5501	deph	4155
248	deph	8329
29085	deph	8363
8555	deph	995
5515	deph	5594
5774	deph	6300
5500	deph	5894
58190	deph	5430
5499	deph	6790
5795	deph	5335
5494	deph	4087
5536	deph	1454
5515	deph	8356
248	deph	8332
52	deph	52
8555	deph	6502
995	deph	983
57546	deph	5161
249	deph	8969
5516	deph	4744
338599	deph	5594
78986	deph	1432
5533	deph	1759
5532	deph	2572
5530	deph	2932
5787	deph	7010
5499	deph	6608
51496	deph	5430
5500	deph	4846
23239	deph	207
5770	deph	2042
5795	deph	867
52	deph	207
5500	deph	5580
5499	deph	5580
5516	deph	3688
11099	deph	6714
5792	deph	1499
5770	deph	2549
5516	deph	5933
26469	deph	2534
151742	deph	6885
8446	deph	4155
5771	deph	8976
5531	deph	5970
5781	deph	10252
5781	deph	10253
5533	deph	54434
5516	deph	5894
5516	deph	818
5516	deph	790
5516	deph	472
5516	deph	5592
5496	deph	8332
5496	deph	8161
1033	deph	1017
5515	deph	1432
54434	deph	1072
5495	deph	1021
5516	deph	4088
5515	deph	5562
250	deph	2997
5536	deph	572
5532	deph	2932
5501	deph	815
1850	deph	1432
5515	deph	5579
54961	deph	1072
5499	deph	818
5515	deph	790
5499	deph	5747
5770	deph	3643
5501	deph	6789
5515	deph	4193
55	deph	2064
5530	deph	3315
5515	deph	6198
5516	deph	55690
5770	deph	6777
1848	deph	5594
5516	deph	9261
5515	deph	2572
5500	deph	815
5501	deph	8351
5533	deph	5502
5530	deph	6554
5794	deph	3932
249	deph	8330
5777	deph	945
8493	deph	7157
5774	deph	7415
5516	deph	8350
5499	deph	4137
8555	deph	51343
5500	deph	6261
8555	deph	387893
5532	deph	1759
8556	deph	22933
5515	deph	5829
5532	deph	1785
5494	deph	4088
5499	deph	1025
5771	deph	857
5728	deph	6464
57546	deph	4086
5499	deph	4001
5780	deph	2064
5501	deph	8354
5728	deph	5159
57460	deph	1434
1849	deph	5594
5530	deph	54434
5792	deph	3643
5516	deph	2801
5515	deph	5347
993	deph	1017
29085	deph	8364
5530	deph	3725
5781	deph	6777
2138	deph	3014
8493	deph	11200
5530	deph	1409
11072	deph	5595
9647	deph	8536
1845	deph	5159
5500	deph	5578
5515	deph	3856
5796	deph	1499
8556	deph	51343
5499	deph	5587
5501	deph	7157
5791	deph	5595
5501	deph	7137
8493	deph	6197
5500	deph	572
1852	deph	5601
5516	deph	8358
5532	deph	572
5770	deph	5777
5515	deph	6608
5530	deph	1759
1847	deph	5595
5501	deph	790
338599	deph	5595
5532	deph	2571
5515	deph	3014
5770	deph	27040
5533	deph	821
5533	deph	10059
26191	deph	919
5496	deph	6606
5795	deph	5595
5516	deph	5604
52	deph	1956
5771	deph	1956
5530	deph	4773
78986	deph	7157
84867	deph	578
5530	deph	1454
5516	deph	1147
52	deph	6521
993	deph	1956
5516	deph	6622
5778	deph	5594
5501	deph	6790
5499	deph	10320
11221	deph	5599
5494	deph	1068
58190	deph	4086
5516	deph	4609
5803	deph	2909
5515	deph	5578
5771	deph	6776
5515	deph	5525
5516	deph	4086
5516	deph	8357
5775	deph	919
5533	deph	1454
5515	deph	4086
5781	deph	6772
5500	deph	6608
5531	deph	8841
5515	deph	8358
5516	deph	3856
56940	deph	5594
2140	deph	3014
5791	deph	5594
5500	deph	6789
8555	deph	22933
5500	deph	5747
5500	deph	1965
5782	deph	6714
5516	deph	1432
5781	deph	5829
5516	deph	836
5501	deph	5778
