kinase (phosphatase)	phos/deph	substrate
157	phos	135941
10000	phos	1027
5599	phos	2355
10000	phos	572
157	phos	390093
157	phos	119679
5578	phos	58494
156	phos	1232
10000	phos	4846
28227	deph	782
157	phos	390538
5600	phos	7867
5527	deph	10369
817	phos	10369
5567	phos	776
5535	deph	4775
157	phos	347468
208	phos	1147
5777	deph	27040
55012	deph	783
815	phos	783
898	phos	25847
5529	deph	208
5523	deph	59284
814	phos	1386
157	phos	81285
7471	phos	8321
6732	phos	6430
1017	phos	2309
53632	phos	2309
5881	phos	5601
5593	phos	23236
5613	phos	10681
7006	phos	5335
1017	phos	3054
5595	phos	4303
5499	deph	9254
409	phos	2149
5571	phos	2309
79660	deph	5261
1852	deph	5602
5582	phos	22800
5516	deph	779
8767	phos	5601
157	phos	643
5566	phos	995
9475	phos	4660
5592	phos	1388
3460	phos	3716
815	phos	59285
85464	deph	1073
5567	phos	648044
5520	deph	778
5595	phos	468
5566	phos	27091
55012	deph	776
5595	phos	2100
5613	phos	6548
3551	phos	2308
6885	phos	5595
9064	phos	5608
5501	deph	775
5516	deph	286151
79660	deph	5257
673	phos	5600
157	phos	219432
3551	phos	7248
3587	phos	3718
1956	phos	1500
898	phos	8697
816	phos	55799
5567	phos	2775
5499	deph	64764
5499	deph	810
3590	phos	3718
5527	deph	10000
5599	phos	100132074
5568	phos	783
80824	deph	5599
5519	deph	55799
5515	deph	83700
1017	phos	1460
5501	deph	10369
5567	phos	483
89780	phos	8325
7475	phos	8324
5519	deph	10413
7297	phos	5293
5582	phos	2793
5590	phos	3996
5600	phos	2354
5801	deph	5600
2869	phos	1232
658	phos	4086
5567	phos	55799
10000	phos	4217
9261	phos	468
2869	phos	729230
81029	phos	8325
5529	deph	10369
2057	phos	7297
817	phos	27092
5581	phos	7442
5781	deph	3937
5580	phos	8471
817	phos	6330
5568	phos	1390
157	phos	26693
5527	deph	59285
5519	deph	9254
9451	phos	1965
5592	phos	109
7480	phos	8323
1111	phos	7157
157	phos	128372
10645	phos	5565
5501	deph	2997
3575	phos	3716
5499	deph	148327
5602	phos	2353
2869	phos	2149
1456	phos	2737
5613	phos	480
5506	deph	5255
5599	phos	4775
5599	phos	2308
6300	phos	3727
51701	phos	6934
5777	deph	7410
5613	phos	3991
818	phos	93589
5499	deph	2904
6093	phos	93408
5567	phos	23439
369	phos	5604
5568	phos	2932
157	phos	393046
4216	phos	5606
157	phos	150681
5594	phos	1388
7478	phos	11211
89780	phos	7855
5613	phos	490
5518	deph	51135
5602	phos	4772
5566	phos	2736
157	phos	26211
5500	deph	51806
6300	phos	1386
993	deph	1021
5582	phos	150084
9088	phos	983
157	phos	390148
4085	phos	25847
5530	deph	51434
5568	phos	467
3717	phos	5295
5566	phos	6323
5567	phos	6262
7535	phos	5600
23049	phos	5976
369	phos	5601
157	phos	441670
5499	deph	90993
5534	deph	64682
157	phos	346528
157	phos	8387
5600	phos	994
6011	phos	729230
5519	deph	5584
5566	phos	2773
1848	deph	5599
163688	phos	5836
156	phos	729230
5579	phos	2770
1852	deph	6300
7481	phos	7976
1452	phos	2737
5563	phos	31
157	phos	282763
4215	phos	5606
157	phos	127066
5598	phos	2697
55844	deph	6262
2872	phos	468
157	phos	135948
5801	deph	6300
5527	deph	783
8323	phos	2776
1432	phos	8986
5582	phos	59345
5595	phos	84699
5526	deph	778
157	phos	401992
5501	deph	5255
6714	phos	5747
5563	phos	1407
5525	deph	59285
1147	phos	8471
5520	deph	786
28227	deph	778
207	phos	842
5566	phos	1080
157	phos	347169
5579	phos	7430
5521	deph	6788
85366	phos	140465
6300	phos	2355
5593	phos	5501
6011	phos	1230
5523	deph	208
157	phos	338675
8792	phos	2214
5777	deph	3791
157	phos	403278
818	phos	786
90673	deph	805
8326	phos	2776
5499	deph	784
157	phos	390063
80824	deph	5600
5592	phos	5332
5519	deph	779
5594	phos	2113
5159	phos	5335
157	phos	121129
7006	phos	7409
157	phos	390038
157	phos	392390
5533	deph	51434
1147	phos	2308
4893	phos	6300
2868	phos	643
7474	phos	8321
53833	phos	3718
157	phos	128367
6794	phos	5563
5593	phos	5331
157	phos	403253
5528	deph	779
5566	phos	482
55844	deph	7137
157	phos	442191
157	phos	256892
10746	phos	5606
5580	phos	65108
5592	phos	9569
6732	phos	8683
5062	phos	10746
157	phos	390067
5588	phos	83700
5592	phos	27094
7477	phos	8323
157	phos	26539
5792	deph	3643
6197	phos	9088
816	phos	6324
23678	phos	100132074
157	phos	81469
157	phos	130075
7483	phos	8322
157	phos	391112
5515	deph	6199
8556	deph	996
6300	phos	8550
2868	phos	3579
5523	deph	783
5603	phos	8061
1848	deph	5595
5600	phos	4303
6300	phos	2354
5533	deph	4772
5567	phos	2788
805	phos	5837
5613	phos	359
56924	phos	9459
58985	phos	3716
28227	deph	59285
5501	deph	59285
7476	phos	8322
2771	phos	6300
5500	deph	5350
5792	deph	1499
5603	phos	3316
5618	phos	7297
7481	phos	2535
5613	phos	6546
9252	phos	90993
55844	deph	775
7474	phos	2535
6093	phos	5305
84867	deph	6300
5499	deph	2998
5528	deph	782
5568	phos	2775
818	phos	6262
157	phos	390201
818	phos	775
5163	phos	5162
4914	phos	53358
5566	phos	2905
157	phos	26529
5063	phos	5894
4638	phos	4633
3590	phos	3716
5568	phos	491
157	phos	390433
5515	deph	59285
53832	phos	3716
2066	phos	6777
8440	phos	10298
3575	phos	3718
51135	phos	3654
5567	phos	572
6885	phos	5599
2773	phos	5603
5566	phos	3000
3595	phos	7297
80824	deph	6300
7478	phos	8324
79660	deph	5260
5516	deph	5584
