kinase (phosphatase)	phos/deph	substrate
7297	phos	3190
57761	phos	7257
6885	phos	4673
8798	phos	2107
65125	phos	7428
6850	phos	51008
3717	phos	202559
5170	phos	4194
8576	phos	3663
147746	phos	83605
1452	phos	3183
4751	phos	3059
9891	phos	5519
5347	phos	11200
2264	phos	55796
5599	phos	596
6789	phos	5888
4751	phos	23676
1019	phos	7514
156	phos	252884
5292	phos	3059
4882	phos	83541
6792	phos	4188
9263	phos	4176
699	phos	7791
7048	phos	2273
369	phos	51564
207	phos	26155
5595	phos	6256
5583	phos	3689
5562	phos	5566
1196	phos	56980
91	phos	127933
6198	phos	581
9020	phos	7428
5578	phos	8563
1196	phos	7533
4752	phos	8725
9263	phos	3663
10494	phos	55616
657	phos	8607
5562	phos	5518
4751	phos	9322
156	phos	7157
84254	phos	8853
1022	phos	5187
5595	phos	10155
7048	phos	5528
5602	phos	140809
1020	phos	6722
5595	phos	54700
5566	phos	25898
1457	phos	3065
5567	phos	3141
9212	phos	7791
2263	phos	4776
5566	phos	4194
4882	phos	55521
2185	phos	2597
6885	phos	9322
9212	phos	11331
2185	phos	9322
56924	phos	4194
23139	phos	7332
3932	phos	7409
6195	phos	7791
4752	phos	3315
5578	phos	23294
9263	phos	55796
6196	phos	6657
6787	phos	84838
1022	phos	55269
4067	phos	5315
4067	phos	4710
6196	phos	51079
22983	phos	3141
1445	phos	4194
1196	phos	84163
658	phos	4086
1457	phos	1114
4921	phos	867
5590	phos	6426
7465	phos	2023
2268	phos	5929
7301	phos	5580
1022	phos	1019
5566	phos	8522
5170	phos	26155
780	phos	6196
695	phos	1025
5583	phos	7535
8798	phos	2017
2185	phos	302
7465	phos	54514
8576	phos	5901
9252	phos	7507
6794	phos	7257
6416	phos	4194
659	phos	127933
660	phos	8853
55681	phos	7117
5058	phos	10848
8445	phos	83541
2534	phos	5610
8445	phos	3141
55359	phos	10152
6788	phos	164153
8899	phos	6196
1021	phos	2869
5170	phos	9322
1454	phos	9322
6850	phos	6196
5578	phos	5592
2870	phos	9368
1457	phos	613
2185	phos	1796
695	phos	11059
5871	phos	6426
11329	phos	80306
1457	phos	1975
5580	phos	3761
7465	phos	3190
6197	phos	1385
3932	phos	6504
2268	phos	2113
6788	phos	23676
5595	phos	4776
3717	phos	11183
7465	phos	867
11213	phos	5687
1457	phos	3297
5604	phos	5580
9263	phos	84153
5599	phos	10273
11183	phos	5573
2534	phos	51283
51086	phos	309
5599	phos	5594
5599	phos	25898
207	phos	9406
5590	phos	7791
2932	phos	8048
5590	phos	10963
6196	phos	5528
10645	phos	84254
5601	phos	4188
207	phos	140890
10783	phos	6446
1454	phos	5610
51086	phos	5108
54899	phos	2268
818	phos	127933
9263	phos	5092
1432	phos	8986
8550	phos	5567
5058	phos	252884
660	phos	4111
7048	phos	7514
4752	phos	745
9263	phos	7515
369	phos	6635
1457	phos	3482
2185	phos	7314
5058	phos	4108
53944	phos	140809
1432	phos	51283
699	phos	23676
5747	phos	6300
657	phos	8048
5753	phos	7726
1021	phos	6118
658	phos	4776
7465	phos	9024
85366	phos	5599
9175	phos	64410
660	phos	55616
780	phos	11331
1326	phos	2869
11035	phos	5610
1196	phos	147808
814	phos	1073
5058	phos	7458
6792	phos	170463
5566	phos	27254
8798	phos	5702
5753	phos	4087
5894	phos	3141
207	phos	5580
5599	phos	672
2932	phos	5567
1445	phos	10933
6196	phos	6047
699	phos	94104
6198	phos	25898
660	phos	55796
9252	phos	5567
5578	phos	6915
