Transition_ID	Relation	Left	Right
T1	phos	10000	1027
T2	phos	7048	2273
T3	phos	156	1232
T4	deph	5501	5925
T5	phos	8576	3663
T6	phos	23118	5608
T7	phos	5347	11200
T8	phos	2264	55796
T9	phos	6885	4673
T10	phos	7048	7336
T11	deph	5523	59284
T12	phos	7478	11211
T13	phos	53632	2309
T14	phos	51086	309
T15	phos	369	51564
T16	phos	207	140890
T17	phos	409	2149
T18	phos	818	786
T19	phos	1196	56980
T20	phos	9020	7428
T21	phos	1196	7533
T22	phos	5567	648044
T23	deph	55012	776
T24	phos	27102	4793
T25	phos	6416	4673
T26	deph	5516	286151
T27	deph	79660	5257
T28	phos	5566	9782
T29	phos	1452	3183
T30	phos	4751	3059
T31	phos	8576	5594
T32	phos	1195	5528
T33	phos	5599	100132074
T34	phos	9263	8079
T35	phos	6196	6657
T36	phos	5590	3996
T37	deph	5496	8332
T38	phos	2263	91661
T39	deph	5801	5600
T40	phos	1196	84163
T41	phos	10000	4217
T42	deph	5501	815
T43	phos	2268	5929
T44	phos	5580	8471
T45	phos	157	26693
T46	deph	5527	59285
T47	phos	7480	8323
T48	deph	5516	7186
T49	phos	2057	7297
T50	phos	51701	6934
T51	deph	5516	9261
T52	phos	6794	3069
T53	phos	5058	10848
T54	phos	2263	7812
T55	deph	5515	5594
T56	phos	4216	5606
T57	phos	4882	54487
T58	deph	5518	51135
T59	phos	11329	80306
T60	phos	55359	2017
T61	phos	4085	25847
T62	phos	11213	5687
T63	phos	90	1871
T64	phos	23049	5976
T65	phos	157	81127
T66	deph	5494	4087
T67	deph	5534	64682
T68	phos	5600	994
T69	deph	5771	142685
T70	deph	55844	6262
T71	phos	10783	6446
T72	phos	1454	5610
T73	phos	8323	2776
T74	phos	818	127933
T75	phos	10000	4792
T76	phos	157	401992
T77	deph	5500	6788
T78	phos	1147	8471
T79	phos	9263	7515
T80	phos	207	842
T81	phos	85366	140465
T82	deph	8555	6502
T83	phos	5347	7178
T84	phos	657	8048
