	entrez	gene	first	second	third
1	11184	MAP4K1	4	4	4
2	3598	IL13RA2	4	4	4
3	22843	PPM1E	4	4	4
4	6733	SRPK2	4	4	5
5	369	ARAF	4	4	4
6	5519	PPP2R1B	4	4	5
7	5063	PAK3	4	4	4
8	3953	LEPR	4	4	4
9	6195	RPS6KA1	4	4	4
10	5802	PTPRS	4	4	4
11	5058	PAK1	4	5	5
12	28227	PPP2R3B	5	4	4
13	4215	MAP3K3	4	4	4
14	10188	TNK2	4	5	4
15	7099	TLR4	4	4	4
16	23012	STK38L	4	5	4
17	3480	IGF1R	4	4	4
18	1850	DUSP8	4	4	4
19	9891	NUAK1	5	5	4
20	55872	PBK	4	4	4
21	54899	PXK	5	4	4
22	5778	PTPN7	4	4	5
23	3570	IL6R	4	4	5
24	5871	MAP4K2	4	4	4
25	6792	CDKL5	4	4	4
26	4352	MPL	4	5	4
27	84254	CAMKK1	4	4	4
28	9475	ROCK2	4	4	5
29	22800	RRAS2	4	4	4
30	5580	PRKCD	4	4	4
31	22983	MAST1	5	4	4
32	5516	PPP2CB	4	4	4
33	5295	PIK3R1	4	5	4
34	6093	ROCK1	4	4	4
35	658	BMPR1B	4	5	5
36	124923	SGK494	4	4	4
37	3563	IL3RA	4	4	4
