Gene symbol	Gene Name	Ensembl Gene ID	Entrez Gene ID	Protein symbol	Historical class	Protein UniProtKB/Swiss-Prot AC	EC Number	CATH code of phosphatase domain	Phosphatase family based on CATH code of phosphatase domain	Subcellular localizations (curated from UniProt and LocDB)	References of subcellular localizations (PubMed IDs)	Tissue specificity (curated from UniProt)	References of tissue specificity (PubMed IDs)
PTPRA	"protein tyrosine phosphatase, receptor type, A"	ENSG00000132670	5786	RPTPalpha	Receptor protein tyrosine phosphatases (RPTPs)	P18433	3.1.3.48	3.90.190.10	Family 1	plasma membrane	2169617	N/A	N/A
PTPRB	"protein tyrosine phosphatase, receptor type, B"	ENSG00000127329	5787	RPTPbeta	Receptor protein tyrosine phosphatases (RPTPs)	P23467	3.1.3.48	3.90.190.10	Family 1	plasma membrane	2170109	N/A	N/A
PTPRC	"protein tyrosine phosphatase, receptor type, C"	ENSG00000081237	5788	CD45	Receptor protein tyrosine phosphatases (RPTPs)	P08575	3.1.3.48	3.90.190.10	Family 1	plasma membrane	"11827988, 2956090, 12676959"	N/A	N/A
PTPRD	"protein tyrosine phosphatase, receptor type, D"	ENSG00000153707	5789	RPTPdelta	Receptor protein tyrosine phosphatases (RPTPs)	P23468	3.1.3.48	3.90.190.10	Family 1	plasma membrane	7896816	N/A	N/A
PTPRE	"protein tyrosine phosphatase, receptor type, E"	ENSG00000132334	5791	RPTPepsilon	Receptor protein tyrosine phosphatases (RPTPs)	P23469	3.1.3.48	3.90.190.10	Family 1	cytoplasm; nucleus; plasma membrane	"8618876, 10490839, 15630078, 10980613"	Expressed in giant cell tumor (osteoclastoma rich in multinucleated osteoclastic cells).	8610169
PTPRF	"protein tyrosine phosphatase, receptor type, F"	ENSG00000142949	5792	LAR	Receptor protein tyrosine phosphatases (RPTPs)	P10586	3.1.3.48	3.90.190.10	Family 1	extracellular region; plasma membrane	"8524829, 2972792"	N/A	N/A
PTPRG	"protein tyrosine phosphatase, receptor type, G"	ENSG00000144724	5793	RPTPgamma	Receptor protein tyrosine phosphatases (RPTPs)	P23470	3.1.3.48	3.90.190.10	Family 1	plasma membrane	8382771	Found in a variety of tissues.	"8382771, 8833149"
PTPRH	"protein tyrosine phosphatase, receptor type, H"	ENSG00000080031	5794	SAP1	Receptor protein tyrosine phosphatases (RPTPs)	Q9HD43	3.1.3.48	3.90.190.10	Family 1	cytoplasm; plasma membrane	12879010	"Expressed at high levels in the brain, spleen and liver and at a lower levels in the heart and stomach. Expressed in pancreatic and colorectal cancer cells, but not in normal pancreas or colon. Expression in hepatocellular carcinoma is related to the differentiation status of the tumor and expression is inversely related to tumor aggressiveness."	"8294459, 12837766, 12879010"
PTPRJ	"protein tyrosine phosphatase, receptor type, J"	ENSG00000149177	5795	RPTPeta	Receptor protein tyrosine phosphatases (RPTPs)	Q12913	3.1.3.48	3.90.190.10	Family 1	cell junction; plasma membrane	"10648410, 9531590"	"Expressed in the promyelocytic cell line HL60, the granulocyte-macrophage colony-stimulating factor-dependent leukemic cell line F-36P, and the interleukin-3 and erythropoietin-dependent leukemic cell line F-36E. Expressed predominantly in epithelial cells and lymphocytes. Enhanced expression at high cell density."	"8483328, 9531590, 12370829"
PTPRK	"protein tyrosine phosphatase, receptor type, K"	ENSG00000152894	5796	RPTPkappa	Receptor protein tyrosine phosphatases (RPTPs)	Q15262	3.1.3.48	3.90.190.10	Family 1	cell junction; extracellular region; plasma membrane	"14718574, 8264577, 8663237"	"High levels in lung, brain and colon; less in liver, pancreas, stomach, kidney, placenta and mammary carcinoma."	"9047348, 8663237"
